time	Voltage	Current	Power
2011-02-01T08:00:00.000Z	360.511	173.0337	62.38055
2011-02-01T08:04:50.689Z	356.548	171.4958	61.14648
2011-02-01T08:09:56.184Z	352.9306	170.2062	60.07098
2011-02-01T08:14:51.474Z	348.5811	168.8117	58.84457
2011-02-01T08:19:42.462Z	344.467	167.5083	57.70108
2011-02-01T08:24:32.378Z	340.5902	166.0746	56.56338
2011-02-01T08:29:34.494Z	336.1602	164.573	55.32289
2011-02-01T08:34:37.695Z	331.3388	162.6537	53.89348
2011-02-01T08:39:44.584Z	326.7243	161.0409	52.61598
2011-02-01T08:44:45.520Z	321.7662	159.3798	51.28303
2011-02-01T08:49:51.734Z	316.5128	157.5462	49.86539
2011-02-01T08:54:39.505Z	311.977	155.6169	48.54889
2011-02-01T08:59:25.104Z	306.6515	153.764	47.15196
2011-02-01T09:04:17.023Z	302.0814	152.0682	45.93697
2011-02-01T09:09:11.278Z	296.8747	149.8304	44.48086
2011-02-01T09:14:14.596Z	291.4706	147.8823	43.10334
2011-02-01T09:19:24.651Z	286.0692	145.7642	41.69865
2011-02-01T09:24:38.293Z	279.6534	143.4689	40.12157
2011-02-01T09:29:44.999Z	274.4754	141.0185	38.70611
2011-02-01T09:34:45.272Z	268.7895	138.7716	37.30035
2011-02-01T09:39:46.528Z	262.7943	136.471	35.8638
2011-02-01T09:44:35.311Z	256.9904	134.2509	34.50119
2011-02-01T09:49:24.640Z	251.3871	131.8726	33.15107
2011-02-01T09:54:20.759Z	245.4146	129.4876	31.77815
2011-02-01T09:59:26.971Z	239.1955	127.0239	30.38355
2011-02-01T10:04:17.383Z	233.3945	124.7117	29.10702
2011-02-01T10:09:15.244Z	226.9002	122.1029	27.70517
2011-02-01T10:14:27.691Z	220.5312	119.3891	26.32902
2011-02-01T10:19:28.903Z	213.7896	116.8031	24.97129
2011-02-01T10:24:22.151Z	207.9927	114.0885	23.72958
2011-02-01T10:29:33.849Z	200.9931	111.3998	22.39059
2011-02-01T10:34:31.495Z	194.4701	108.7742	21.15333
2011-02-01T10:39:39.024Z	187.6417	105.8566	19.86311
2011-02-01T10:44:29.212Z	181.5641	103.0556	18.7112
2011-02-01T10:49:29.328Z	174.8487	100.393	17.55359
2011-02-01T10:54:25.079Z	167.9733	97.45784	16.37031
2011-02-01T10:59:21.596Z	161.5116	94.56375	15.27314
2011-02-01T11:04:34.349Z	154.3319	91.63968	14.14293
2011-02-01T11:09:34.798Z	147.3893	88.83155	13.09282
2011-02-01T11:14:37.609Z	140.7853	85.78937	12.07788
2011-02-01T11:19:24.125Z	134.0416	82.81458	11.1006
2011-02-01T11:24:16.873Z	127.4577	79.81872	10.17351
2011-02-01T11:29:30.759Z	119.7917	76.68251	9.185928
2011-02-01T11:34:38.756Z	112.8166	73.56349	8.299183
2011-02-01T11:39:35.644Z	105.5593	70.78386	7.471895
2011-02-01T11:44:32.708Z	98.68961	67.7961	6.690771
2011-02-01T11:49:41.348Z	91.49315	64.47589	5.899102
2011-02-01T11:54:31.095Z	84.70544	61.47013	5.206854
2011-02-01T11:59:23.048Z	78.23744	58.55926	4.581527
2011-02-01T12:04:34.307Z	70.92021	55.29676	3.921658
2011-02-01T12:09:25.191Z	64.0363	52.34307	3.351857
2011-02-01T12:14:18.785Z	56.77672	49.16145	2.791226
2011-02-01T12:19:12.301Z	66.75689	46.10075	3.077543
2011-02-01T12:24:20.944Z	79.77671	43.0941	3.437906
2011-02-01T12:29:23.421Z	92.81431	40.58085	3.766484
2011-02-01T12:34:36.269Z	107.2076	55.31364	5.930043
2011-02-01T12:39:37.336Z	120.5769	69.74167	8.409234
2011-02-01T12:44:42.446Z	134.037	83.7314	11.22311
2011-02-01T12:49:31.074Z	145.4284	96.70633	14.06385
2011-02-01T12:54:22.066Z	158.7965	110.4204	17.53437
2011-02-01T12:59:22.398Z	171.0411	123.0258	21.04247
2011-02-01T13:04:34.811Z	184.226	137.0308	25.24464
2011-02-01T13:09:49.738Z	198.4697	152.0953	30.18631
2011-02-01T13:14:43.816Z	210.8328	164.9084	34.7681
2011-02-01T13:19:34.385Z	223.1988	177.8807	39.70276
2011-02-01T13:24:46.453Z	236.6263	193.0545	45.68177
2011-02-01T13:29:32.188Z	248.6603	205.2345	51.03367
2011-02-01T13:34:21.187Z	260.1553	217.7983	56.66138
2011-02-01T13:39:30.256Z	273.6811	232.0304	63.50234
2011-02-01T13:44:23.972Z	285.9315	245.4559	70.18357
2011-02-01T13:49:23.701Z	298.6308	258.579	77.21965
2011-02-01T13:54:14.960Z	309.503	271.2304	83.94662
2011-02-01T13:59:27.941Z	322.8694	283.9994	91.69472
2011-02-01T14:04:16.827Z	334.42	297.0875	99.352
2011-02-01T14:09:20.841Z	346.3337	309.8774	107.321
2011-02-01T14:14:06.957Z	358.1247	322.754	115.5862
