time	Occupied
2011-02-01T08:00:00.000Z	0
2011-02-01T08:04:50.689Z	0
2011-02-01T08:09:56.184Z	0
2011-02-01T08:14:51.474Z	0
2011-02-01T08:19:42.462Z	0
2011-02-01T08:24:32.378Z	0
2011-02-01T08:29:34.494Z	0
2011-02-01T08:34:37.695Z	0
2011-02-01T08:39:44.584Z	0
2011-02-01T08:44:45.520Z	0
2011-02-01T08:49:51.734Z	0
2011-02-01T08:54:39.505Z	1
2011-02-01T08:59:25.104Z	0
2011-02-01T09:04:17.023Z	1
2011-02-01T09:09:11.278Z	0
2011-02-01T09:14:14.596Z	0
2011-02-01T09:19:24.651Z	0
2011-02-01T09:24:38.293Z	1
2011-02-01T09:29:44.999Z	0
2011-02-01T09:34:45.272Z	1
2011-02-01T09:39:46.528Z	0
2011-02-01T09:44:35.311Z	1
2011-02-01T09:49:24.640Z	0
2011-02-01T09:54:20.759Z	0
2011-02-01T09:59:26.971Z	0
2011-02-01T10:04:17.383Z	0
2011-02-01T10:09:15.244Z	0
2011-02-01T10:14:27.691Z	1
2011-02-01T10:19:28.903Z	0
2011-02-01T10:24:22.151Z	1
2011-02-01T10:29:33.849Z	1
2011-02-01T10:34:31.495Z	1
2011-02-01T10:39:39.024Z	1
2011-02-01T10:44:29.212Z	1
2011-02-01T10:49:29.328Z	0
2011-02-01T10:54:25.079Z	1
2011-02-01T10:59:21.596Z	1
2011-02-01T11:04:34.349Z	1
2011-02-01T11:09:34.798Z	1
2011-02-01T11:14:37.609Z	1
2011-02-01T11:19:24.125Z	1
2011-02-01T11:24:16.873Z	0
2011-02-01T11:29:30.759Z	0
2011-02-01T11:34:38.756Z	0
2011-02-01T11:39:35.644Z	1
2011-02-01T11:44:32.708Z	0
2011-02-01T11:49:41.348Z	0
2011-02-01T11:54:31.095Z	0
2011-02-01T11:59:23.048Z	1
2011-02-01T12:04:34.307Z	0
2011-02-01T12:09:25.191Z	1
2011-02-01T12:14:18.785Z	0
2011-02-01T12:19:12.301Z	1
2011-02-01T12:24:20.944Z	0
2011-02-01T12:29:23.421Z	0
2011-02-01T12:34:36.269Z	1
2011-02-01T12:39:37.336Z	0
2011-02-01T12:44:42.446Z	0
2011-02-01T12:49:31.074Z	1
2011-02-01T12:54:22.066Z	0
2011-02-01T12:59:22.398Z	0
2011-02-01T13:04:34.811Z	1
2011-02-01T13:09:49.738Z	0
2011-02-01T13:14:43.816Z	1
2011-02-01T13:19:34.385Z	1
2011-02-01T13:24:46.453Z	0
2011-02-01T13:29:32.188Z	1
2011-02-01T13:34:21.187Z	1
2011-02-01T13:39:30.256Z	0
2011-02-01T13:44:23.972Z	0
2011-02-01T13:49:23.701Z	0
2011-02-01T13:54:14.960Z	0
2011-02-01T13:59:27.941Z	0
2011-02-01T14:04:16.827Z	0
2011-02-01T14:09:20.841Z	0
2011-02-01T14:14:06.957Z	1
2011-02-01T14:18:58.474Z	1
2011-02-01T14:24:10.159Z	1
2011-02-01T14:29:05.352Z	1
2011-02-01T14:33:56.381Z	0
2011-02-01T14:39:00.803Z	0
2011-02-01T14:44:03.392Z	1
2011-02-01T14:49:00.067Z	1
2011-02-01T14:54:01.182Z	0
2011-02-01T14:58:55.926Z	1
2011-02-01T15:04:07.528Z	0
2011-02-01T15:09:00.222Z	1
2011-02-01T15:14:01.212Z	1
2011-02-01T15:18:55.330Z	1
2011-02-01T15:23:42.640Z	1
2011-02-01T15:28:47.761Z	0
2011-02-01T15:33:53.342Z	1
2011-02-01T15:38:56.354Z	1
2011-02-01T15:44:09.288Z	1
2011-02-01T15:49:12.460Z	1
2011-02-01T15:54:17.941Z	1
2011-02-01T15:59:12.770Z	1
2011-02-01T16:04:08.499Z	0
2011-02-01T16:08:57.321Z	0
2011-02-01T16:13:46.903Z	1
2011-02-01T16:18:51.280Z	0
2011-02-01T16:23:59.774Z	0
2011-02-01T16:29:02.835Z	0
2011-02-01T16:34:16.709Z	0
2011-02-01T16:39:05.933Z	1
2011-02-01T16:44:18.758Z	0
2011-02-01T16:49:03.850Z	0
2011-02-01T16:54:02.352Z	0
2011-02-01T16:58:53.199Z	0
2011-02-01T17:03:55.589Z	1
2011-02-01T17:08:43.651Z	1
2011-02-01T17:13:49.027Z	0
2011-02-01T17:19:03.217Z	0
